#{"t_start": 1745335469.3308082, "env_id": "None"}
r,l,t,user_id,item_interact,item_clicks
15.126967,50,0.508713,7,"(np.int64(25969), np.int64(48038), np.int64(40337), np.int64(4382), np.int64(27703), np.int64(16611), np.int64(45090), np.int64(303), np.int64(33308), np.int64(34738), np.int64(29219), np.int64(22015), np.int64(18774), np.int64(17381), np.int64(45791), np.int64(38903), np.int64(27587), np.int64(30653), np.int64(30280), np.int64(18267), np.int64(18348), np.int64(4375), np.int64(25748), np.int64(4725), np.int64(41451), np.int64(2439), np.int64(28170), np.int64(1320), np.int64(43560), np.int64(39619), np.int64(6243), np.int64(23820), np.int64(43028), np.int64(17207), np.int64(33372), np.int64(26669), np.int64(11861), np.int64(9957), np.int64(16329), np.int64(42001), np.int64(25318), np.int64(14437), np.int64(19380), np.int64(30159), np.int64(18243), np.int64(27086), np.int64(19140), np.int64(2210), np.int64(36811), np.int64(19281))","(0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1)"
11.999392,50,0.894197,8,"(np.int64(24018), np.int64(5071), np.int64(12665), np.int64(16142), np.int64(49727), np.int64(7149), np.int64(20979), np.int64(49532), np.int64(39235), np.int64(26028), np.int64(48958), np.int64(15086), np.int64(5870), np.int64(1598), np.int64(15569), np.int64(9663), np.int64(30), np.int64(36071), np.int64(27392), np.int64(2420), np.int64(4667), np.int64(32551), np.int64(16525), np.int64(40573), np.int64(36905), np.int64(45323), np.int64(41435), np.int64(14124), np.int64(23276), np.int64(3154), np.int64(14134), np.int64(26434), np.int64(26847), np.int64(41630), np.int64(15279), np.int64(7382), np.int64(14587), np.int64(16049), np.int64(37544), np.int64(17517), np.int64(17712), np.int64(17725), np.int64(10589), np.int64(49514), np.int64(6706), np.int64(47295), np.int64(11286), np.int64(11961), np.int64(30854), np.int64(46684))","(1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0)"
19.930242,50,1.297065,4,"(np.int64(10032), np.int64(16437), np.int64(40574), np.int64(1399), np.int64(14777), np.int64(26978), np.int64(33837), np.int64(38725), np.int64(12023), np.int64(32272), np.int64(23681), np.int64(45993), np.int64(40810), np.int64(44588), np.int64(41186), np.int64(39619), np.int64(41085), np.int64(36419), np.int64(44695), np.int64(32780), np.int64(45082), np.int64(12417), np.int64(15800), np.int64(31036), np.int64(26435), np.int64(26265), np.int64(14367), np.int64(12092), np.int64(6522), np.int64(30084), np.int64(14433), np.int64(17767), np.int64(25505), np.int64(43914), np.int64(4568), np.int64(4781), np.int64(6970), np.int64(19635), np.int64(10880), np.int64(43337), np.int64(5683), np.int64(34579), np.int64(19473), np.int64(7969), np.int64(29407), np.int64(9835), np.int64(36414), np.int64(49572), np.int64(3584), np.int64(13376))","(1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1)"
13.702836,50,1.764333,3,"(np.int64(35757), np.int64(34332), np.int64(43342), np.int64(27552), np.int64(2351), np.int64(5233), np.int64(28768), np.int64(45562), np.int64(47242), np.int64(31205), np.int64(30017), np.int64(37502), np.int64(9585), np.int64(6524), np.int64(23440), np.int64(32174), np.int64(28850), np.int64(43137), np.int64(39414), np.int64(2717), np.int64(46155), np.int64(3233), np.int64(12410), np.int64(23075), np.int64(44861), np.int64(48055), np.int64(30397), np.int64(37944), np.int64(39272), np.int64(39869), np.int64(11884), np.int64(18795), np.int64(35053), np.int64(6578), np.int64(41894), np.int64(35757), np.int64(45252), np.int64(12352), np.int64(10895), np.int64(46585), np.int64(37759), np.int64(33107), np.int64(31344), np.int64(37859), np.int64(13076), np.int64(37076), np.int64(31104), np.int64(9581), np.int64(19728), np.int64(44181))","(0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0)"
0.81037,50,2.180979,0,"(np.int64(36842), np.int64(12720), np.int64(34176), np.int64(40777), np.int64(48777), np.int64(23262), np.int64(26105), np.int64(11667), np.int64(23464), np.int64(48135), np.int64(33587), np.int64(22210), np.int64(14457), np.int64(7546), np.int64(23579), np.int64(732), np.int64(41917), np.int64(13286), np.int64(11975), np.int64(49433), np.int64(30075), np.int64(9646), np.int64(48517), np.int64(29460), np.int64(44348), np.int64(38542), np.int64(1639), np.int64(6273), np.int64(48273), np.int64(42067), np.int64(49336), np.int64(23868), np.int64(13474), np.int64(47610), np.int64(6580), np.int64(8019), np.int64(46603), np.int64(43359), np.int64(36187), np.int64(7249), np.int64(46402), np.int64(11722), np.int64(9136), np.int64(33382), np.int64(20977), np.int64(14393), np.int64(17114), np.int64(39383), np.int64(20828), np.int64(37384))","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0)"
18.751661,50,2.597339,7,"(np.int64(21987), np.int64(18434), np.int64(15992), np.int64(20980), np.int64(17185), np.int64(12339), np.int64(42140), np.int64(1205), np.int64(31774), np.int64(11310), np.int64(30956), np.int64(49100), np.int64(4633), np.int64(35734), np.int64(29365), np.int64(21623), np.int64(8811), np.int64(49042), np.int64(21390), np.int64(43319), np.int64(12679), np.int64(15110), np.int64(14075), np.int64(27907), np.int64(43075), np.int64(15214), np.int64(8165), np.int64(33790), np.int64(1750), np.int64(1138), np.int64(23388), np.int64(36474), np.int64(1855), np.int64(48783), np.int64(9204), np.int64(7754), np.int64(23214), np.int64(22336), np.int64(4132), np.int64(18816), np.int64(29728), np.int64(43533), np.int64(45752), np.int64(6825), np.int64(18738), np.int64(21892), np.int64(41386), np.int64(27858), np.int64(25433), np.int64(3371))","(1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1)"
12.338998,50,3.078677,7,"(np.int64(46521), np.int64(14813), np.int64(42847), np.int64(5592), np.int64(20426), np.int64(30542), np.int64(21642), np.int64(28561), np.int64(12829), np.int64(30257), np.int64(20299), np.int64(48994), np.int64(27397), np.int64(43674), np.int64(44260), np.int64(21669), np.int64(40528), np.int64(43478), np.int64(21192), np.int64(8332), np.int64(21634), np.int64(49163), np.int64(42800), np.int64(29489), np.int64(7663), np.int64(34095), np.int64(43892), np.int64(7501), np.int64(10109), np.int64(24305), np.int64(21803), np.int64(37054), np.int64(15070), np.int64(15128), np.int64(48294), np.int64(14824), np.int64(34482), np.int64(9635), np.int64(22566), np.int64(47223), np.int64(13104), np.int64(27296), np.int64(31103), np.int64(11093), np.int64(17916), np.int64(17856), np.int64(30126), np.int64(20679), np.int64(3188), np.int64(30570))","(0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0)"
11.127287,50,3.472631,8,"(np.int64(46371), np.int64(34568), np.int64(7347), np.int64(5255), np.int64(4583), np.int64(45478), np.int64(5429), np.int64(46910), np.int64(48863), np.int64(43918), np.int64(15727), np.int64(40319), np.int64(49859), np.int64(17989), np.int64(8865), np.int64(44369), np.int64(23060), np.int64(33043), np.int64(18023), np.int64(25187), np.int64(35236), np.int64(15406), np.int64(8764), np.int64(31562), np.int64(47756), np.int64(25956), np.int64(42551), np.int64(31200), np.int64(189), np.int64(25472), np.int64(20367), np.int64(43100), np.int64(28077), np.int64(25170), np.int64(6326), np.int64(16578), np.int64(49849), np.int64(20244), np.int64(46104), np.int64(40835), np.int64(12163), np.int64(35309), np.int64(31272), np.int64(21457), np.int64(4678), np.int64(9729), np.int64(16048), np.int64(25188), np.int64(7779), np.int64(26590))","(0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0)"
19.354459,50,3.850643,3,"(np.int64(32771), np.int64(20585), np.int64(8823), np.int64(15493), np.int64(12748), np.int64(26639), np.int64(25387), np.int64(1417), np.int64(30772), np.int64(20946), np.int64(37629), np.int64(14781), np.int64(38606), np.int64(39240), np.int64(16222), np.int64(36), np.int64(26153), np.int64(14990), np.int64(16857), np.int64(31651), np.int64(13154), np.int64(31758), np.int64(4073), np.int64(3632), np.int64(30147), np.int64(17889), np.int64(30942), np.int64(2348), np.int64(2017), np.int64(35705), np.int64(40537), np.int64(3984), np.int64(39279), np.int64(29785), np.int64(14577), np.int64(18664), np.int64(35674), np.int64(30468), np.int64(14152), np.int64(208), np.int64(4172), np.int64(34781), np.int64(1317), np.int64(5363), np.int64(34261), np.int64(47200), np.int64(29), np.int64(33913), np.int64(9395), np.int64(17461))","(1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1)"
16.14373,50,4.21606,5,"(np.int64(37118), np.int64(9390), np.int64(2301), np.int64(23972), np.int64(179), np.int64(25417), np.int64(49237), np.int64(18370), np.int64(623), np.int64(38053), np.int64(19547), np.int64(41822), np.int64(25837), np.int64(9060), np.int64(26063), np.int64(44894), np.int64(36581), np.int64(20941), np.int64(35477), np.int64(28837), np.int64(40840), np.int64(42403), np.int64(40468), np.int64(47985), np.int64(31968), np.int64(22984), np.int64(23196), np.int64(30483), np.int64(2893), np.int64(48544), np.int64(29466), np.int64(12586), np.int64(28435), np.int64(49650), np.int64(46312), np.int64(31854), np.int64(26559), np.int64(35909), np.int64(23709), np.int64(24800), np.int64(15669), np.int64(171), np.int64(19233), np.int64(48992), np.int64(48690), np.int64(2057), np.int64(23060), np.int64(13584), np.int64(3875), np.int64(49325))","(1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0)"
