#{"t_start": 1745259507.7428339, "env_id": "None"}
r,l,t,user_id
5.508747,34,0.483383,1
5.287866,21,0.737385,1
5.968968,45,1.267286,1
4.969514,20,1.509401,1
4.528225,29,1.832342,1
4.790043,16,2.025827,1
4.539121,32,2.382878,1
4.869677,31,2.722477,1
12.421018,50,3.320454,1
12.674862,50,3.950469,1
9.057422,50,4.614085,1
7.118127,50,5.166533,1
7.228856,31,5.497519,1
8.051072,39,5.92508,1
6.336302,50,6.466953,1
9.732311,50,7.024503,1
8.122347,50,7.574004,1
7.359239,36,7.971585,1
3.923113,16,8.154536,1
10.829245,50,8.700572,1
10.726845,50,9.302439,1
8.26096,50,10.003217,1
2.290398,21,10.241715,1
5.109736,23,10.525179,1
5.027958,28,10.848086,1
8.891164,33,11.305134,1
4.377423,23,11.589988,1
6.607381,50,12.176045,1
8.79175,41,12.694081,1
10.101389,50,13.299933,1
14.834849,50,13.899053,1
3.664653,11,14.025972,1
8.696531,50,14.68105,1
3.805737,17,14.872358,1
7.989418,26,15.165412,1
12.247182,50,15.801526,1
7.979422,33,16.228121,1
3.429736,21,16.491884,1
3.753989,19,16.714639,1
3.197277,27,17.01362,1
8.449072,50,17.575214,1
2.211166,17,17.780156,1
11.700877,50,18.345289,1
7.84101,43,18.819505,1
9.587669,50,19.361011,1
2.110865,20,19.596387,1
4.579811,25,19.882864,1
1.865029,12,20.024998,1
5.632316,36,20.420688,1
10.395734,50,21.016113,1
12.551537,48,21.603675,1
9.512668,50,22.437435,1
11.250085,50,23.231245,1
10.28922,50,23.977677,1
8.195071,46,24.518351,1
5.763329,40,32.595538,1
8.430838,50,33.193291,1
3.138438,12,33.339056,1
4.962214,16,33.531258,1
9.09462,36,33.93347,1
10.297477,50,34.534979,1
1.08616,15,34.730264,1
8.312001,50,35.299229,1
11.204609,50,35.86355,1
11.200687,50,36.423072,1
10.661191,50,36.983532,1
11.178999,50,37.638853,1
10.83827,50,38.267098,1
6.659642,42,38.771011,1
12.682619,50,39.332576,1
3.261034,28,39.706729,1
9.562438,50,40.356328,1
5.258715,39,40.88353,1
4.179902,28,41.256985,1
6.414103,34,41.648734,1
8.733252,47,42.252537,1
10.002618,50,42.846169,1
5.381472,23,43.110279,1
9.223987,50,43.728167,1
11.537642,50,44.291027,1
3.410394,24,44.641553,1
9.223547,40,45.116762,1
9.758486,50,45.672035,1
2.182549,14,45.831165,1
10.701492,50,46.38789,1
5.698319,16,46.582922,1
3.161793,14,46.736359,1
9.924709,50,47.308295,1
6.904792,35,47.699335,1
10.110943,45,48.210063,1
4.920734,20,48.430365,1
4.920672,23,48.696875,1
5.312269,27,48.988187,1
14.458849,50,49.543923,1
5.951226,28,49.872927,1
13.020708,50,50.433911,1
9.292747,50,50.991006,1
8.142938,50,51.547101,1
6.387295,50,52.105011,1
4.239669,50,52.663439,1
4.085275,32,53.018608,1
3.8272,19,53.237073,1
3.911093,21,53.477728,1
9.844975,44,53.975792,1
