#{"t_start": 1745287390.037604, "env_id": "None"}
r,l,t,user_id,item_interact,item_clicks
11.774493,50,0.656885,1,"(np.int64(1809), np.int64(44877), np.int64(26871), np.int64(36408), np.int64(40688), np.int64(30899), np.int64(24969), np.int64(17282), np.int64(5475), np.int64(10360), np.int64(34544), np.int64(41440), np.int64(10492), np.int64(13617), np.int64(4637), np.int64(37362), np.int64(21020), np.int64(17983), np.int64(32846), np.int64(20350), np.int64(38714), np.int64(23949), np.int64(35793), np.int64(16708), np.int64(9934), np.int64(13897), np.int64(9007), np.int64(40201), np.int64(22677), np.int64(5331), np.int64(49879), np.int64(35844), np.int64(40915), np.int64(38528), np.int64(18990), np.int64(40331), np.int64(46931), np.int64(26313), np.int64(18716), np.int64(32805), np.int64(33807), np.int64(20883), np.int64(5122), np.int64(46979), np.int64(18461), np.int64(17086), np.int64(47645), np.int64(28004), np.int64(47519), np.int64(7259))","(1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1)"
13.76339,50,1.157989,1,"(np.int64(36298), np.int64(30496), np.int64(36729), np.int64(4991), np.int64(36565), np.int64(36095), np.int64(2906), np.int64(4909), np.int64(39579), np.int64(34946), np.int64(900), np.int64(40096), np.int64(45687), np.int64(9894), np.int64(38869), np.int64(8466), np.int64(34338), np.int64(15120), np.int64(47473), np.int64(8937), np.int64(36112), np.int64(10705), np.int64(9159), np.int64(5356), np.int64(20947), np.int64(11497), np.int64(3737), np.int64(6886), np.int64(23217), np.int64(25834), np.int64(11119), np.int64(11945), np.int64(17776), np.int64(47555), np.int64(12748), np.int64(32206), np.int64(13658), np.int64(16277), np.int64(43389), np.int64(9855), np.int64(21098), np.int64(29481), np.int64(25551), np.int64(40036), np.int64(42681), np.int64(41035), np.int64(14314), np.int64(36708), np.int64(35867), np.int64(39290))","(0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0)"
12.251529,50,1.631644,1,"(np.int64(18188), np.int64(8644), np.int64(47197), np.int64(31778), np.int64(8804), np.int64(11951), np.int64(29058), np.int64(23622), np.int64(28353), np.int64(1793), np.int64(34440), np.int64(35903), np.int64(12377), np.int64(42682), np.int64(9653), np.int64(32963), np.int64(49286), np.int64(39004), np.int64(15495), np.int64(13354), np.int64(13044), np.int64(44075), np.int64(9388), np.int64(40849), np.int64(29825), np.int64(10408), np.int64(5105), np.int64(19898), np.int64(36051), np.int64(42), np.int64(17668), np.int64(26072), np.int64(36314), np.int64(14594), np.int64(14406), np.int64(13452), np.int64(24934), np.int64(17143), np.int64(45190), np.int64(22771), np.int64(15499), np.int64(38840), np.int64(34911), np.int64(29702), np.int64(13357), np.int64(28684), np.int64(43283), np.int64(16490), np.int64(13392), np.int64(17953))","(0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0)"
11.85665,50,2.103197,1,"(np.int64(26702), np.int64(16572), np.int64(33838), np.int64(7392), np.int64(18675), np.int64(16367), np.int64(6620), np.int64(21932), np.int64(1571), np.int64(8166), np.int64(19873), np.int64(48902), np.int64(43887), np.int64(25555), np.int64(2556), np.int64(30389), np.int64(36082), np.int64(41361), np.int64(36227), np.int64(38031), np.int64(315), np.int64(7766), np.int64(21), np.int64(21702), np.int64(2014), np.int64(17421), np.int64(4529), np.int64(28049), np.int64(22487), np.int64(35452), np.int64(39804), np.int64(22726), np.int64(20900), np.int64(37955), np.int64(42583), np.int64(45047), np.int64(39225), np.int64(32446), np.int64(19103), np.int64(49792), np.int64(563), np.int64(1040), np.int64(10497), np.int64(27695), np.int64(46246), np.int64(48284), np.int64(7723), np.int64(40781), np.int64(22866), np.int64(40923))","(0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0)"
13.455271,50,2.577764,1,"(np.int64(8207), np.int64(15332), np.int64(36796), np.int64(18536), np.int64(780), np.int64(39233), np.int64(33355), np.int64(19336), np.int64(36099), np.int64(25368), np.int64(11213), np.int64(12471), np.int64(34195), np.int64(12847), np.int64(14933), np.int64(48367), np.int64(44409), np.int64(3459), np.int64(38828), np.int64(44852), np.int64(3598), np.int64(12082), np.int64(44707), np.int64(25311), np.int64(32471), np.int64(37409), np.int64(20052), np.int64(12409), np.int64(13498), np.int64(32129), np.int64(12785), np.int64(41550), np.int64(30552), np.int64(24821), np.int64(25331), np.int64(15682), np.int64(916), np.int64(27514), np.int64(14231), np.int64(10078), np.int64(19989), np.int64(25252), np.int64(47212), np.int64(5243), np.int64(25695), np.int64(43712), np.int64(42953), np.int64(13593), np.int64(34470), np.int64(21350))","(1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1)"
11.805514,50,3.05149,1,"(np.int64(6788), np.int64(30756), np.int64(17416), np.int64(21961), np.int64(18195), np.int64(40328), np.int64(26803), np.int64(4956), np.int64(33190), np.int64(19174), np.int64(4626), np.int64(30517), np.int64(27808), np.int64(49964), np.int64(17131), np.int64(13908), np.int64(14826), np.int64(9866), np.int64(8594), np.int64(40189), np.int64(29658), np.int64(39393), np.int64(47470), np.int64(45261), np.int64(4554), np.int64(497), np.int64(25866), np.int64(9219), np.int64(2218), np.int64(5900), np.int64(38539), np.int64(10218), np.int64(34055), np.int64(35521), np.int64(37042), np.int64(36341), np.int64(48860), np.int64(13231), np.int64(23817), np.int64(19591), np.int64(43631), np.int64(22334), np.int64(34104), np.int64(19774), np.int64(41018), np.int64(10798), np.int64(12272), np.int64(14496), np.int64(35111), np.int64(43632))","(1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0)"
12.81579,50,3.525348,1,"(np.int64(2225), np.int64(49579), np.int64(49092), np.int64(37899), np.int64(5631), np.int64(8013), np.int64(33030), np.int64(1290), np.int64(39414), np.int64(16384), np.int64(6690), np.int64(2635), np.int64(39813), np.int64(49032), np.int64(9090), np.int64(33923), np.int64(49099), np.int64(11278), np.int64(18600), np.int64(24613), np.int64(42086), np.int64(39739), np.int64(2667), np.int64(38659), np.int64(23821), np.int64(7157), np.int64(41768), np.int64(26288), np.int64(4579), np.int64(28363), np.int64(46853), np.int64(2447), np.int64(36849), np.int64(13046), np.int64(19402), np.int64(32500), np.int64(7436), np.int64(6575), np.int64(3827), np.int64(19741), np.int64(24073), np.int64(5029), np.int64(18660), np.int64(4135), np.int64(14372), np.int64(11414), np.int64(21539), np.int64(35915), np.int64(49252), np.int64(8211))","(0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1)"
9.588703,50,3.993081,1,"(np.int64(44408), np.int64(24491), np.int64(40915), np.int64(2339), np.int64(24712), np.int64(2265), np.int64(41859), np.int64(42874), np.int64(5874), np.int64(46950), np.int64(35864), np.int64(42696), np.int64(41033), np.int64(48155), np.int64(48244), np.int64(12330), np.int64(34846), np.int64(41743), np.int64(9238), np.int64(25946), np.int64(28771), np.int64(15024), np.int64(12766), np.int64(20866), np.int64(35661), np.int64(24044), np.int64(34382), np.int64(32883), np.int64(8114), np.int64(21800), np.int64(28512), np.int64(17986), np.int64(40021), np.int64(35882), np.int64(25489), np.int64(7663), np.int64(42876), np.int64(17317), np.int64(21428), np.int64(33142), np.int64(25520), np.int64(20783), np.int64(22859), np.int64(43643), np.int64(20604), np.int64(19857), np.int64(14695), np.int64(49670), np.int64(20892), np.int64(2612))","(0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1)"
13.30595,50,4.466538,1,"(np.int64(37398), np.int64(29682), np.int64(28073), np.int64(32424), np.int64(4939), np.int64(11161), np.int64(27369), np.int64(28086), np.int64(44025), np.int64(31797), np.int64(29008), np.int64(11272), np.int64(42342), np.int64(26100), np.int64(44668), np.int64(1228), np.int64(19078), np.int64(20973), np.int64(4560), np.int64(47850), np.int64(28313), np.int64(999), np.int64(610), np.int64(2033), np.int64(14215), np.int64(37326), np.int64(46174), np.int64(24434), np.int64(22266), np.int64(26330), np.int64(7763), np.int64(40306), np.int64(33030), np.int64(46239), np.int64(1470), np.int64(21297), np.int64(49891), np.int64(49959), np.int64(4573), np.int64(40471), np.int64(4887), np.int64(1777), np.int64(26537), np.int64(2495), np.int64(10427), np.int64(24676), np.int64(46199), np.int64(7352), np.int64(24185), np.int64(14995))","(0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1)"
11.023353,50,4.93947,1,"(np.int64(42411), np.int64(17065), np.int64(31297), np.int64(33889), np.int64(45941), np.int64(39056), np.int64(47704), np.int64(27741), np.int64(41922), np.int64(43447), np.int64(31938), np.int64(9887), np.int64(10299), np.int64(42858), np.int64(40664), np.int64(7251), np.int64(12418), np.int64(42580), np.int64(6808), np.int64(36941), np.int64(35757), np.int64(45076), np.int64(15635), np.int64(30967), np.int64(7215), np.int64(33662), np.int64(21029), np.int64(36212), np.int64(21764), np.int64(8792), np.int64(21149), np.int64(47977), np.int64(29876), np.int64(21905), np.int64(11181), np.int64(42568), np.int64(46951), np.int64(35378), np.int64(26307), np.int64(16367), np.int64(41306), np.int64(27678), np.int64(36755), np.int64(14605), np.int64(4805), np.int64(20586), np.int64(5402), np.int64(19339), np.int64(23722), np.int64(5712))","(0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1)"
